"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"304","Groundnut","T1",0.1,0.5,"TDG10",13.9237118070638,0
"305","Groundnut","T1",0.1,0.5,"TDG13",12.3300026691326,0
"306","Groundnut","T1",0.1,0.5,"TDG14",13.0506757410987,0
"307","Groundnut","T1",0.1,0.5,"TG19",12.74144860241,0
"308","Groundnut","T1",0.1,0.5,"TG39",10.443931360484,0
"309","Groundnut","T1",0.1,0.5,"TG41",11.7084349784379,0
"310","Groundnut","T1",0.1,0.5,"TG42",9.27138152258637,0
"311","Groundnut","T1",0.1,0.5,"TG49",13.1160825224445,0
"312","Groundnut","T1",0.1,0.5,"TGLPS3",11.6830923822424,0
"313","Groundnut","T1",0.1,0.5,"TGLPS4",11.3738923324634,0
"314","Groundnut","T1",0.1,0.5,"TGLPS7",8.84528701869765,0
"315","Groundnut","T1",0.1,0.5,"TKG19A",12.9269474028982,0
"316","Groundnut","T1",0.1,0.5,"TMV2",7.27403954881311,0
"317","Groundnut","T1",0.1,0.5,"TMV2NLM",14.3196996126445,0
"318","Groundnut","T1",0.1,0.5,"TPG41",9.05265231595664,0
"319","Groundnut","T1",0.1,1,"24M-86",9.3953419812543,0
"320","Groundnut","T1",0.1,1,"24×37-2275",13.5107533046462,0
"321","Groundnut","T1",0.1,1,"24×39-31MR",13.6821281306144,0
"322","Groundnut","T1",0.1,1,"26M-119-1",14.6607477158889,0
"323","Groundnut","T1",0.1,1,"26M156-2",13.6837175769309,0
"324","Groundnut","T1",0.1,1,"26×27-164",12.7799945216884,0
"325","Groundnut","T1",0.1,1,"26×37-IV-9IR",18.0831039189125,0
"326","Groundnut","T1",0.1,1,"26×M-223-1",13.8833839728918,0
"327","Groundnut","T1",0.1,1,"26×M-95-1RI",16.5936890372238,0
"328","Groundnut","T1",0.1,1,"27×49-12",14.8906312075236,0
"329","Groundnut","T1",0.1,1,"27×49-14",10.3196369707442,0
"330","Groundnut","T1",0.1,1,"27×49-16",10.299035370329,0
"331","Groundnut","T1",0.1,1,"27×49-27-1",13.3008988015037,0
